title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Ticarcillin Disodium Salt,,,Plant Cell Culture,,$80.00,,,0.013lbs,,,,TC-05,,,,
Ticarcillin Disodium Salt,,,Plant Cell Culture,,$289.00,,,0.057lbs,,,,TC-25,,,,
Timentin,,,Plant Cell Culture,,$80.00,,,0.013lbs,,,,TM-05,,,,
Timentin,,,Plant Cell Culture,,$289.00,,,0.055lbs,,,,TM-25,,,,
5-FOA (Fluoroorctic Acid),,,Plant Cell Culture,,$105.00,,,0.013lbs,,,,FA-05,,,,
Cefotaxime,,,Plant Cell Culture,,$80.00,,,0.013lbs,,,,CF-02,,,,
Gentamicin,,,Plant Cell Culture,,$59.00,,,0.013lbs,,,,GT-03,,,,
G418 Sulfate,,,Plant Cell Culture,,$175.00,,,0.013lbs,,,,GN-04,,,,
G418 Sulfate,,,Plant Cell Culture,,$55.00,,,0.004lbs,,,,GN-04/1,,,,
"G418 Sulfate Solution
Concentration: 50mg/mL",,,Plant Cell Culture,,$215.00,,,0.2lbs,,,,GN-06,,,,
"Sodium Pyruvate, 100mM",,,Supplements and Antibiotics,,$8.95,,,0.2lbs,,,,SP-90,,,,
HEPES 1M,,,Supplements and Antibiotics,,$15.50,,,0.2lbs,,,,HB-20,,,,
"Non-Essential Amino Acids, 10mM",,,Supplements and Antibiotics,,$9.95,,,0.2lbs,,,,NE-01,,,,
"Trypsin EDTA, 1X",,,Supplements and Antibiotics,,$9.95,,,0.2lbs,,,,TE-91,,,,
PBS 1X w/o Ca and MG,,,Supplements and Antibiotics,,$10.00,,,1.5lb,,,,PB-24,,,,
PBS 10X w/o Ca and MG,,,Supplements and Antibiotics,,$12.00,,,1.5lb,,,,PB-10,,,,
"Antibiotic Antimycotic Solution, 100X",,,Supplements and Antibiotics,,$13.95,,,0.2lbs,,,,AA-40,,,,
"Fungizone™
(Amphotericin B)",,,Supplements and Antibiotics,,$14.95,,,0.2lbs,,,,FG-70,,,,
"Gentamicin Sulfate Solution, 10mg/mL",,,Supplements and Antibiotics,,$55.00,,,0.21lbs,,,,GT-10,,,,
"Gentamicin Sulfate Solution, 50mg/mL",,,Supplements and Antibiotics,,$175.00,,,0.21lbs,,,,GT-50,,,,
Pen-Strep Solution 100X,,,Supplements and Antibiotics,,$9.95,,,0.2lbs,,,,PS-20,,,,
L-Glutamine Pen-Strep Solution 100X,,,Supplements and Antibiotics,,$14.95,,,0.2lbs,,,,PG-30,,,,
L-Glutamine 200mM,,,Supplements and Antibiotics,,$14.95,,,0.2lbs,,,,GS-60,,,,
Hygromycin B,,,Supplements and Antibiotics,,$69.00,,,0.06lbs,,,,HG-80,,,,
Carbenicillin Disodium Salt,,,Supplements and Antibiotics,,$75.00,,,0.013lbs,,,,CB-01,,,,
Gentamicin Sulfate,,,Supplements and Antibiotics,,$59.00,,,0.013lbs,,,,GT-03,,,,
G418 Sulfate,,,Supplements and Antibiotics,,$55.00,,,0.013lbs,,,,GN-04,,,,
G418 Sulfate,,,Supplements and Antibiotics,,$175.00,,,0.004lbs,,,,GN-04/1,,,,
"G418 Sulfate Solution
Concentration: 50mg/mL",,,Supplements and Antibiotics,,$215.00,,,0.2lbs,,,,GN-06,,,,
Puromycin Dihydrochloride,,,Supplements and Antibiotics,,$98.00,,,0.00022lbs,,,,PR-01,,,,
Ampicillin Disodium Salt,,,Supplements and Antibiotics,,$67.00,,,0.057lbs,,,,AM-25,,,,
Ampicillin Disodium Salt,,,Supplements and Antibiotics,,$190.00,,,0.22lbs,,,,AM-01,,,,
Bacitracin,,,Supplements and Antibiotics,,$35.00,,,0.013lbs,,,,BT-05,,,,
Kanamycin Sulfate,,,Supplements and Antibiotics,,$25.00,,,0.013lbs,,,,KN-05,,,,
"RPMI 1640, 1X, w/ 25 mM HEPES,  w/o L-Glutamine, ",,,Tissue Culture Media,,$17.50,,,1.5lb,,,,RP-18,,,,
"DMEM High Glucose, (4.5g/L), w/o L-Glutamine",,,Tissue Culture Media,,$8.95,,,1.5lb,,,,DM-22,,,,
"DMEM Low Glucose (1g/L), w/o L-Glutamine",,,Tissue Culture Media,,$8.95,,,1.5lb,,,,DM-21,,,,
"RPMI 1640, 1X w/ L-Glutamine",,,Tissue Culture Media,,$8.95,,,1.5lb,,,,RP-19,,,,
DMEM/Ham’s F-12 (1:1),,,Tissue Culture Media,,$19.95,,,1.5lb,,,,DM-25,,,,
"RPMI 1640, 1X w/o L-Glutamine",,,Tissue Culture Media,,$8.95,,,1.5lb,,,,RP-20,,,,
"Hank’s Balanced Salt Solution, w/o Ca & Mg",,,Tissue Culture Media,,$15.00,,,1.5lb,,,,HB-10,,,,
