"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"375","BL-15","BL-15: Blasticidin HCL Solution ..in 20mM Hepes Buffer (10 mg / mL)","blasticidin-hcl-solution-in-20mm-hepes-buffer-10-mg-ml","http://www.omegascientific.com/shop/blasticidin-hcl-solution-in-20mm-hepes-buffer-10-mg-ml/","A peptidyl nucleaside antibiotic isolated from the culture broth of Streptomyces griseogenes, inhibits protein sytnthesis in both prokaryotes and eukaryotes. Supplied as a 10mg/mL sterile soltuion in HEPES buffer.","CAS 3513-03-9","Simple","Catalog & Search","No","No","No","490",,,,"0.0110231","lbs","3","in","1.5","in","1.5","in","Antibiotics and Supplements","BL-15","http://omegascientific.ogram.me/assets/BL-15sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"376","BM-15","BM-15: Bleomycin Sulfate","bleomycin-sulfate","http://www.omegascientific.com/shop/bleomycin-sulfate/","Potency 1 unit per mg solid. The sulfates in Bleomycin are a mixture of basic antineo-plastic antibiotics producted by glycopeptide Streptomyces verticullus. Binds to DNA and causes strand scissions. Soluble in water.","CAS 9041-93-4

Volume: 15 mg

Storage: 2-8º C

This is a custom product. Please allow 7-10 days of lead time to ship.","Simple","Catalog & Search","No","No","No",,,,,"0.0110231","lbs","3","in","1.5","in","1.5","in","Antibiotics and Supplements|Plant Cell Culture","BM-15","http://omegascientific.ogram.me/assets/BM-15sm.png",,"Taxable",,,,,"No",,"Out of Stock","No","No",,,,,"Publish","Closed"
,,"378","CB-01","CB-01: Carbenicillin Disodium Salt","carbenicillin-disodium-salt","http://www.omegascientific.com/shop/carbenicillin-disodium-salt/","Prevents bacterial cell wall synthesis. Highly active against gram negative bacteria. Non-toxic to plants. Soluble in water.","CAS 4800-94-6","Simple","Catalog & Search","No","No","No","95",,,,"0.0110231","lbs","3","in","1.5","in","1.5","in","Antibiotics and Supplements","CB-01","http://omegascientific.ogram.me/assets/CB-01sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"379","CB-01 / 25","CB-01 / 25: Carbenicillin Disodium Salt","carbenicillin-disodium-salt-2","http://www.omegascientific.com/shop/carbenicillin-disodium-salt-2/","Prevents bacterial cell wall synthesis. Highly active against gram negative bacteria. Non-toxic to plants. Soluble in water.","CAS 4800-94-6","Simple","Catalog & Search","No","No","No","425.00",,,,"0.0551156","lbs","4","in","2","in","2","in","Antibiotics and Supplements","CB-01 25g","http://omegascientific.ogram.me/assets/CB-01-25gsm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"380","CF-02","CF-02: Cefotaxime, 5g","cefotaxime-5g","http://www.omegascientific.com/shop/cefotaxime-5g/","Inhibitor of bacterial cell wall synthesis. Inhibits cross linking of peptidoglycan by binding and inactivating transpeptidases. Resistant to b-Lactamase activity. Soluble in water.","CAS 64485-93-4","Simple","Catalog & Search","No","No","No","80",,,,"0.0110231","lbs","3","in","1.5","in","1.5","in","Antibiotics and Supplements|Plant Cell Culture","cf-02","http://omegascientific.ogram.me/assets/CF-02-5gsm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"381","CF-02 / 25","CF-02 / 25: Cefotaxime, 25g","cefotaxime-25g","http://www.omegascientific.com/shop/cefotaxime-25g/","Inhibitor of bacterial cell wall synthesis. Inhibits cross linking of peptidoglycan by binding and inactivating transpeptidases. Resistant to b-Lactamase activity. Soluble in water.","CAS 64485-93-4","Simple","Catalog & Search","No","No","No","250",,,,".15","lbs","4","in","2","in","2","in","Antibiotics and Supplements|Plant Cell Culture","CF-02 25g","http://omegascientific.ogram.me/assets/CF-02-25gsm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"382","DM-21","DM-21: DMEM (1X) Low Glucose","dmem-1x-low-glucose","http://www.omegascientific.com/shop/dmem-1x-low-glucose/","DMEM Low Glucose (1g/L), without L-Glutamine","Catalog #: DM-21

Volume: 500mL

Storage: 2-8<sup>o</sup> C

Low Glucose

Without L-Glutamine","Simple","Catalog & Search","No","No","No","12.95",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Tissue Culture Media","DM-21","http://omegascientific.ogram.me/assets/DM-21-1sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"383","DM-22","DM-22: DMEM(1X) High Glucose","dmem1x-high-glucose","http://www.omegascientific.com/shop/dmem1x-high-glucose/","DMEM High Glucose, (4.5g/L), without L-Glutamine","Catalog #: DM-22

Volume: 500mL

Storage: 2-8<sup>o</sup> C

High Glucose

Without L-Glutamine","Simple","Catalog & Search","No","No","No","12.95",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Tissue Culture Media","DM-22","http://omegascientific.ogram.me/assets/DM-22sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"385","DM-25","DM-25: DMEM/Hams F-12 (1:1 ratio)","dmemhams-f-12-11-ratio","http://www.omegascientific.com/shop/dmemhams-f-12-11-ratio/","DMEM/Ham's F-12 1:1 Ratio
w/ High Glucose, w/o L-Glutamine","Catalog #: DM-25

Volume: 500mL

Storage: 2-8<sup>o</sup> C

High Glucose

Without L-Glutamine","Simple","Catalog & Search","No","No","No","19.95",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Tissue Culture Media","DM-25","http://omegascientific.ogram.me/assets/DM-25sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"386","FA-05","FA-05: 5-FOA Fluoroorotic Acid, 5g","5-foa-fluoroorotic-acid-5g","http://www.omegascientific.com/shop/5-foa-fluoroorotic-acid-5g/","5-Fluoroorotic Acid (5-fluorouracil-6-carboxylic acid monohydrate; 5-FOA) is used in yeast molecular genetics to detect expression of the URA3 gene, which encodes orotine-5'-monophosphate (OMP) dicarboxylase.","CAS 703-95-7","Simple","Catalog & Search","No","No","No","105",,,,"0.0551156","lbs","4","in","2","in","2","in","Antibiotics and Supplements|Plant Cell Culture","FA-05","http://omegascientific.ogram.me/assets/FA-05sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"387","FB-03","FB-03: Fetal Bovine Serum, Dialyzed","fetal-bovine-serum-dialyzed","http://www.omegascientific.com/shop/fetal-bovine-serum-dialyzed/",,"Catalog #: FB-03

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","595",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-03","http://omegascientific.ogram.me/assets/FB-03-1sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"388","FB-04","FB-04: Fetal Bovine Serum, Charcoal-Dextran Treated","fetal-bovine-serum-charcoal-dextran-treated","http://www.omegascientific.com/shop/fetal-bovine-serum-charcoal-dextran-treated/",,"Catalog #: FB-04

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","595",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-04","http://omegascientific.ogram.me/assets/FB-04sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"389","FB-05","FB-05: Fetal Bovine Serum, ES Cell Tested","fetal-bovine-serum-es-cell-tested","http://www.omegascientific.com/shop/fetal-bovine-serum-es-cell-tested/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-05

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No",,,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-05","http://omegascientific.ogram.me/assets/FB-05-1sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"390","FB-06","FB-06: Fetal Bovine Serum, Low IgG","fetal-bovine-serum-low-igg","http://www.omegascientific.com/shop/fetal-bovine-serum-low-igg/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-06

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No",,,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-06","http://omegascientific.ogram.me/assets/FB-06-1sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"391","FB-07","FB-07: Fetal Bovine Serum, Dialyzed, Heat Inactivated","fetal-bovine-serum-dialyzed-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-dialyzed-heat-inactivated/",,"Catalog #: FB-07

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","495",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-07","http://omegascientific.ogram.me/assets/FB-07sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"393","FB-09","FB-09: Fetal Bovine Serum, Gamma Irradiated","fetal-bovine-serum-gamma-irradiated","http://www.omegascientific.com/shop/fetal-bovine-serum-gamma-irradiated/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-09

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No",,,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-09","http://omegascientific.ogram.me/assets/FB-09-1sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"395","FB-12","FB-12: Fetal Bovine Serum, U.S. Source, Heat Inactivated","fetal-bovine-serum-u-s-source-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-u-s-source-heat-inactivated/",,"Catalog #: FB-12

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","Yes","No","No","395",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-12|Fetal|fetal bovine sera|fetal bovine serum|heat inactivated|heated","http://omegascientific.ogram.me/assets/FB-12-1sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"396","FB-13","FB-13: Fetal Bovine Serum, ES Cell Tested, Heat Inactivated","fetal-bovine-serum-es-cell-tested-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-es-cell-tested-heat-inactivated/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-13

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No",,,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-13","http://omegascientific.ogram.me/assets/FB-13sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"397","FB-14","FB-14: Fetal Bovine Serum, Charcoal-Dextran Treated, Heat Inactivated","fetal-bovine-serum-charcoal-dextran-treated-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-charcoal-dextran-treated-heat-inactivated/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-14

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","495",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-14","http://omegascientific.ogram.me/assets/FB-14sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"398","FB-15","FB-15: Fetal Bovine Serum,  TET Free","fetal-bovine-serum-tet-free","http://www.omegascientific.com/shop/fetal-bovine-serum-tet-free/","Tetracycline is an antibiotic commonly found in Fetal Bovine Serum which can cause problems for researchers using sensitive tet-inducing expression systems. Processed sera is screened for the presence of Tetracycline. This FBS has no detectable level of Tetracycline present.

<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-15

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","455",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-15","http://omegascientific.ogram.me/assets/FB-15-1sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"399","FB-16","FB-16: Fetal Bovine Serum,  TET Free, Heat Inactivated","fetal-bovine-serum-tet-free-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-tet-free-heat-inactivated/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-16

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","455",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-16","http://omegascientific.ogram.me/assets/FB-16sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"400","FB-19","FB-19: Fetal Bovine Serum, Gamma Irradiated, Heat Inactivated","fetal-bovine-serum-gamma-irradiated-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-gamma-irradiated-heat-inactivated/","<a href=""http://www.omegascientific.com/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-19

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No",,,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-19","http://omegascientific.ogram.me/assets/FB-19sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
